             p_index,             x_index,             z_index,             p_level,             x_level,             z_level,                prod,                wage,               pdist,               zdist,            epz_dist,      epz_dist_young,      epz_dist_prime,          epz_dist_x,    epz_dist_young_x,    epz_dist_prime_x,            upz_dist,      upz_dist_young,      upz_dist_prime,          upz_dist_x,    upz_dist_young_x,    upz_dist_prime_x,             up_dist,          uallp_dist,       up_dist_young,       up_dist_prime,      up_search_dist,up_search_dist_young,up_search_dist_prime,        up_rest_dist,  up_rest_dist_young,  up_rest_dist_prime,       up_reall_dist, up_reall_dist_young, up_reall_dist_prime,      e_dist_e1yb4_x,    sep_dist_e1yb4_x,          z_r_binary,          z_s_binary,            z_r_func,            z_s_func,,
   1,   1,  12,    0.897863,    1.000000,    0.351453,    0.315556,    0.339058,    0.116653,    0.002130,    0.000311,    0.000356,    0.000327,    0.000000,    0.000002,    0.000000,    0.001504,    0.001437,    0.001463,    0.000297,    0.001120,    0.000127,    0.053841,    0.074003,    0.072193,    0.050181,    0.029553,    0.045691,    0.026485,    0.024288,    0.026502,    0.023695,    0.000000,    0.000000,    0.000000,    0.000001,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,,
   1,   1,  13,    0.897863,    1.000000,    0.357705,    0.321170,    0.342712,    0.116653,    0.002316,    0.000412,    0.000423,    0.000445,    0.000002,    0.000007,    0.000001,    0.001522,    0.001466,    0.001505,    0.000306,    0.001160,    0.000130,    0.053841,    0.074003,    0.072193,    0.050181,    0.029553,    0.045691,    0.026485,    0.024288,    0.026502,    0.023695,    0.000000,    0.000000,    0.000000,    0.000002,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,,
   1,   1,  14,    0.897863,    1.000000,    0.364022,    0.326842,    0.346411,    0.116653,    0.002514,    0.000553,    0.000503,    0.000610,    0.000005,    0.000020,    0.000002,    0.001563,    0.001545,    0.001549,    0.000325,    0.001231,    0.000153,    0.053841,    0.074003,    0.072193,    0.050181,    0.029553,    0.045691,    0.026485,    0.024288,    0.026502,    0.023695,    0.000000,    0.000000,    0.000000,    0.000005,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,,
   1,   1,  15,    0.897863,    1.000000,    0.370403,    0.332571,    0.350159,    0.116653,    0.002725,    0.000726,    0.000621,    0.000777,    0.000010,    0.000045,    0.000003,    0.001568,    0.001615,    0.001527,    0.000343,    0.001301,    0.000150,    0.053841,    0.074003,    0.072193,    0.050181,    0.029553,    0.045691,    0.026485,    0.024288,    0.026502,    0.023695,    0.000000,    0.000000,    0.000000,    0.000011,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,,
   1,   1,  16,    0.897863,    1.000000,    0.376849,    0.338359,    0.353966,    0.116653,    0.002948,    0.000963,    0.000748,    0.001045,    0.000018,    0.000080,    0.000007,    0.001554,    0.001650,    0.001498,    0.000351,    0.001351,    0.000154,    0.053841,    0.074003,    0.072193,    0.050181,    0.029553,    0.045691,    0.026485,    0.024288,    0.026502,    0.023695,    0.000000,    0.000000,    0.000000,    0.000019,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,,
   1,   1,  17,    0.897863,    1.000000,    0.383362,    0.344207,    0.357843,    0.116653,    0.003184,    0.001241,    0.000943,    0.001336,    0.000034,    0.000141,    0.000013,    0.001517,    0.001631,    0.001447,    0.000357,    0.001359,    0.000158,    0.053841,    0.074003,    0.072193,    0.050181,    0.029553,    0.045691,    0.026485,    0.024288,    0.026502,    0.023695,    0.000000,    0.000000,    0.000000,    0.000036,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,,
   1,   1,  18,    0.897863,    1.000000,    0.389942,    0.350114,    0.361806,    0.116653,    0.003433,    0.001556,    0.001175,    0.001660,    0.000059,    0.000246,    0.000018,    0.001474,    0.001688,    0.001403,    0.000369,    0.001425,    0.000162,    0.053841,    0.074003,    0.072193,    0.050181,    0.029553,    0.045691,    0.026485,    0.024288,    0.026502,    0.023695,    0.000000,    0.000000,    0.000000,    0.000062,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,,
   1,   1,  19,    0.897863,    1.000000,    0.396589,    0.356082,    0.365874,    0.116653,    0.003694,    0.001883,    0.001391,    0.002013,    0.000091,    0.000383,    0.000034,    0.001413,    0.001661,    0.001333,    0.000368,    0.001416,    0.000156,    0.053841,    0.074003,    0.072193,    0.050181,    0.029553,    0.045691,    0.026485,    0.024288,    0.026502,    0.023695,    0.000000,    0.000000,    0.000000,    0.000097,    0.000001,    0.000000,    0.000000,    0.000000,    0.000000,,
   1,   1,  20,    0.897863,    1.000000,    0.403304,    0.362112,    0.370067,    0.116653,    0.003969,    0.002279,    0.001772,    0.002382,    0.000136,    0.000577,    0.000048,    0.001363,    0.001623,    0.001286,    0.000354,    0.001369,    0.000150,    0.053841,    0.074003,    0.072193,    0.050181,    0.029553,    0.045691,    0.026485,    0.024288,    0.026502,    0.023695,    0.000000,    0.000000,    0.000000,    0.000144,    0.000001,    0.000000,    1.000000,    0.000000,    0.000000,,
   1,   1,  21,    0.897863,    1.000000,    0.410088,    0.368203,    0.374405,    0.116653,    0.004256,    0.002669,    0.002113,    0.002801,    0.000182,    0.000764,    0.000066,    0.001282,    0.001559,    0.001210,    0.000352,    0.001332,    0.000165,    0.053841,    0.074003,    0.072193,    0.050181,    0.029553,    0.045691,    0.026485,    0.024288,    0.026502,    0.023695,    0.000000,    0.000000,    0.000000,    0.000192,    0.000002,    0.000000,    0.000000,    0.000000,    0.000000,,
