n_duration,occmob_mog_raw,occmob_mog_raw_lb,occmob_mog_raw_ub,occmob_mog_corr,occmob_mog_raw_good,occmob_mog_raw_good_lb,occmob_mog_raw_good_ub,occmob_mog_corr_good,occmob_mog_raw_bad,occmob_mog_raw_bad_lb,occmob_mog_raw_bad_ub,occmob_mog_corr_bad
1,.537395946536509,.5252718144270151,.5495200786460029,.4460514814832376,.5434442996947788,.5175653587493219,.5693232406402358,.4541556924180936,.5332763772183988,.5153029807472783,.5512497736895193,.4410611756528074
2,.5505246926619636,.5371867042857487,.5638626810381785,.4620425347707021,.5606326832754815,.5317929350603273,.5894724314906358,.4740232518423106,.5468612877897756,.5272476366180735,.5664749389614777,.458162997027714
3,.5655637921615364,.5507485781972108,.580379006125862,.4808997723965899,.575164184137649,.5419858544437767,.6083425138315214,.4928815571893199,.5624667120869696,.5411835369317021,.5837498872422372,.4771171754149898
4,.5902775747266681,.5738710702657206,.6066840791876156,.5120382386100124,.5983082921289211,.5606769047424791,.6359396795153631,.5223139341835339,.5868712165418918,.5631894382938878,.6105529947898958,.5080843191673943
5,.6013212040590598,.5832955762776998,.6193468318404197,.5260023049781912,.6170502551026555,.5743212547814627,.6597792554238484,.5456498267026246,.5906111489406536,.5648565497147113,.6163657481665958,.5124216263234149
6,.6100306795293813,.5901612915914314,.6299000674673312,.5366686721961011,.6262469115800681,.5776813925332502,.6748124306268859,.5574596001863066,.605022262403381,.577175770672564,.632868754134198,.5307653907655803
7,.6135410646198953,.5914652409981691,.6356168882416215,.5407596268372101,.6180956161870446,.5621184691879019,.6740727631861873,.5459630912805854,.6086703347596959,.5786768146845402,.6386638548348516,.5360051791878919
8,.622670001332132,.5980100881289686,.6473299145352954,.5522758972880697,.618114493602278,.5537213775657562,.6825076096387998,.5440650808384337,.6239101062776462,.5907841519413972,.6570360606138952,.5552505220418142
9,.6371253359254032,.61031848345885,.6639321883919564,.570843650410205,.6155154625871236,.5420379126841056,.6889930124901417,.5423184479294285,.6420856927535613,.6061901657050602,.6779812198020624,.5778120751085598
10,.6500788238495562,.6210305952372362,.6791270524618761,.587281828520798,.6118469712715109,.5276746830262971,.6960192595167247,.5377003561841832,.6657088534548059,.6266134023033579,.7048043046062539,.6080124577886494
11,.6520000083649437,.6197093884838375,.6842906282460498,.5906787410343878,.6299315987348667,.540681027213216,.7191821702565174,.5658039750532153,.6632410387778822,.6190487790954233,.7074332984603411,.6050818530254434
12,.676614232287942,.6395794835537637,.7136489810221204,.6197748142675599,.6751560969531368,.5599140143655138,.7903981795407599,.6189905960451937,.6914293173778726,.6394597537896035,.7433988809661417,.6386968133583408
13,.6713222851557324,.6294454367469301,.7131991335645348,.6117682080739236,.6472894258136193,.519165451997178,.7754133996300605,.5836929920067488,.6830750396646901,.6216425851224848,.7445074942068953,.6268531785778724
14,.6779875480360609,.6312830583300439,.7246920377420778,.61882776417881,.6416561669938711,.5147298259148103,.7685825080729318,.5747954170244314,.6812807493508319,.6046198445669073,.7579416541347566,.6244236461695317
15,.670743532635927,.6108563308760396,.7306307343958144,.6050729536795825,.6170006690679215,.4240254045740377,.8099759335618053,.5397983074213817,.6919752501289113,.5901858391732885,.793764661084534,.6327283852548685
16,.6562776456769334,.5784432435489433,.7341120478049235,.5882695860577244,.559859004912013,.2211836999155616,.8985343099084644,.474184101389497,.6993382137970494,.5707169224955592,.8279595050985397,.6460384629914758
17,.6846643018737955,.5874251898334188,.7819034139141721,.6245274669906364,.6669126389135857,-.2419156657337187,1.57574094356089,.6135000558760241,.7030524813348056,.5230595712338465,.8830453914357647,.6549587661151746
18,.6570809969834257,.4801062612572069,.8340557327096445,.5878370006159761,.6028801359821904,,,.5242205290973809,.6381527469762514,.1915122956874719,1.084793198265031,.5760321478980973
