     qtr, qtr_win,id,  l_ult3m,  l_ult5m,  l_ult9m, l_ult13m, l_ugt13m,      u_q,      Xjf,      Yjf, data_qtr,data_qtr3,
     613,      13, 2,  -1.0000,  -1.0000,  -1.0000,  -1.0000,  -1.0000,  -1.0000,  -0.2498,   0.0663,  -3.4338,  -0.9884,
     614,      14, 2,  -1.0000,  -1.0000,  -1.0000,  -1.0000,  -1.0000,  -1.0000,  -0.2492,   0.1265,  -3.4442,  -0.9236,
     615,      15, 2,  -1.0000,  -1.0000,  -1.0000,  -1.0000,  -1.0000,  -1.0000,  -0.2583,   0.1203,  -3.4642,  -0.9253,
     616,      16, 2,  -1.0000,  -1.0000,  -1.0000,  -1.0000,  -1.0000,  -1.0000,  -0.2392,   0.1191,  -3.4560,  -0.9219,
     617,      17, 2,  -1.0000,  -1.0000,  -1.0000,  -1.0000,  -1.0000,  -1.0000,  -0.1735,   0.1509,  -3.4012,  -0.8856,
     618,      18, 2,  -1.0000,  -1.0000,  -1.0000,  -1.0000,  -1.0000,  -1.0000,  -0.1820,   0.0389,  -3.4206,  -0.9929,
     619,      19, 2,  -1.0000,  -1.0000,  -1.0000,  -1.0000,  -1.0000,  -1.0000,  -0.2201,   0.0354,  -3.4696,  -0.9919,
     620,      20, 2,  -1.0000,  -1.0000,  -1.0000,  -1.0000,  -1.0000,  -1.0000,  -0.2315,   0.0737,  -3.4919,  -0.9490,
     621,      21, 2,  -1.0000,  -1.0000,  -1.0000,  -1.0000,  -1.0000,  -1.0000,  -0.3162,   0.0449,  -3.5876,  -0.9733,
     622,      22, 2,  -1.0000,  -1.0000,  -1.0000,  -1.0000,  -1.0000,  -1.0000,  -0.2531,   0.1741,  -3.5354,  -0.8395,
     623,      23, 2,  -1.0000,  -1.0000,  -1.0000,  -1.0000,  -1.0000,  -1.0000,  -0.1185,   0.1587,  -3.4117,  -0.8503,
     624,      24, 2,  -1.0000,  -1.0000,  -1.0000,  -1.0000,  -1.0000,  -1.0000,   0.0226,   0.0792,  -3.2815,  -0.9253,
     625,      25, 2,  -1.0000,  -1.0000,  -1.0000,  -1.0000,  -1.0000,  -1.0000,   0.0250,  -0.0609,  -3.2900,  -1.0607,
     626,      26, 2,  -1.0000,  -1.0000,  -1.0000,  -1.0000,  -1.0000,  -1.0000,   0.0830,   0.0297,  -3.2430,  -0.9656,
     627,      27, 2,  -1.0000,  -1.0000,  -1.0000,  -1.0000,  -1.0000,  -1.0000,   0.1667,  -0.0736,  -3.1701,  -1.0643,
     628,      28, 2,  -1.0000,  -1.0000,  -1.0000,  -1.0000,  -1.0000,  -1.0000,   0.2872,  -0.0806,  -3.0606,  -1.0667,
     629,      29, 2,  -1.0000,  -1.0000,  -1.0000,  -1.0000,  -1.0000,  -1.0000,   0.4021,  -0.1383,  -2.9565,  -1.1198,
     630,      30, 2,  -1.0000,  -1.0000,  -1.0000,  -1.0000,  -1.0000,  -1.0000,   0.4688,  -0.1938,  -2.9007,  -1.1708,
     631,      31, 2,  -1.0000,  -1.0000,  -1.0000,  -1.0000,  -1.0000,  -1.0000,   0.4042,  -0.3409,  -2.9763,  -1.3133,
     632,      32, 2,  -1.0000,  -1.0000,  -1.0000,  -1.0000,  -1.0000,  -1.0000,   0.4605,  -0.1577,  -2.9309,  -1.1255,
     633,      33, 2,  -1.0000,  -1.0000,  -1.0000,  -1.0000,  -1.0000,  -1.0000,   0.6234,  -0.1661,  -2.7789,  -1.1294,
     634,      34, 2,  -1.0000,  -1.0000,  -1.0000,  -1.0000,  -1.0000,  -1.0000,   0.5547,  -0.3915,  -2.8585,  -1.3501,
     635,      35, 2,  -1.0000,  -1.0000,  -1.0000,  -1.0000,  -1.0000,  -1.0000,   0.4911,  -0.2778,  -2.9330,  -1.2319,
     636,      36, 2,  -1.0000,  -1.0000,  -1.0000,  -1.0000,  -1.0000,  -1.0000,   0.3482,  -0.2710,  -3.0868,  -1.2205,
     637,      37, 2,  -1.0000,  -1.0000,  -1.0000,  -1.0000,  -1.0000,  -1.0000,   0.2032,  -0.1114,  -3.2428,  -1.0564,
     638,      38, 2,  -1.0000,  -1.0000,  -1.0000,  -1.0000,  -1.0000,  -1.0000,   0.0128,  -0.1416,  -3.4440,  -1.0820,
     639,      39, 2,  -1.0000,  -1.0000,  -1.0000,  -1.0000,  -1.0000,  -1.0000,  -0.0688,   0.0471,  -3.5366,  -0.8887,
     640,      40, 2,  -1.0000,  -1.0000,  -1.0000,  -1.0000,  -1.0000,  -1.0000,  -0.2353,  -0.0113,  -3.7140,  -0.9425,
     641,      41, 2,  -1.0000,  -1.0000,  -1.0000,  -1.0000,  -1.0000,  -1.0000,  -0.1831,   0.1796,  -3.6728,  -0.7471,
     642,      42, 2,  -1.0000,  -1.0000,  -1.0000,  -1.0000,  -1.0000,  -1.0000,  -0.1709,   0.1229,  -3.6714,  -0.7992,
     643,      43, 2,  -1.0000,  -1.0000,  -1.0000,  -1.0000,  -1.0000,  -1.0000,   0.0008,   0.1046,  -3.5107,  -0.8129,
     644,      44, 2,  -1.0000,  -1.0000,  -1.0000,  -1.0000,  -1.0000,  -1.0000,   0.0614,   0.0071,  -3.4610,  -0.9058,
     645,      45, 2,  -1.0000,  -1.0000,  -1.0000,  -1.0000,  -1.0000,  -1.0000,  -0.0158,  -0.0718,  -3.5490,  -0.9801,
     646,      46, 2,  -1.0000,  -1.0000,  -1.0000,  -1.0000,  -1.0000,  -1.0000,  -0.0257,   0.0020,  -3.5699,  -0.9018,
     647,      47, 2,  -1.0000,  -1.0000,  -1.0000,  -1.0000,  -1.0000,  -1.0000,  -0.0520,  -0.0189,  -3.6071,  -0.9181,
     648,      48, 2,  -1.0000,  -1.0000,  -1.0000,  -1.0000,  -1.0000,  -1.0000,  -0.0708,   0.0370,  -3.6369,  -0.8576,
     649,      49, 2,  -1.0000,  -1.0000,  -1.0000,  -1.0000,  -1.0000,  -1.0000,   0.0580,   0.1083,  -3.5189,  -0.7817,
     650,      50, 2,  -1.0000,  -1.0000,  -1.0000,  -1.0000,  -1.0000,  -1.0000,   0.2856,   0.0254,  -3.3023,  -0.8601,
     651,      51, 2,  -1.0000,  -1.0000,  -1.0000,  -1.0000,  -1.0000,  -1.0000,   0.3096,  -0.1836,  -3.2891,  -1.0645,
     652,      52, 2,  -1.0000,  -1.0000,  -1.0000,  -1.0000,  -1.0000,  -1.0000,   0.4098,  -0.1263,  -3.1999,  -1.0026,
     653,      53, 2,  -1.0000,  -1.0000,  -1.0000,  -1.0000,  -1.0000,  -1.0000,   0.5444,  -0.2067,  -3.0762,  -1.0785,
     654,      54, 2,  -1.0000,  -1.0000,  -1.0000,  -1.0000,  -1.0000,  -1.0000,   0.5928,  -0.2659,  -3.0387,  -1.1331,
     655,      55, 2,  -1.0000,  -1.0000,  -1.0000,  -1.0000,  -1.0000,  -1.0000,   0.7132,  -0.2545,  -2.9292,  -1.1171,
     656,      56, 2,  -1.0000,  -1.0000,  -1.0000,  -1.0000,  -1.0000,  -1.0000,   0.7853,  -0.3282,  -2.8680,  -1.1862,
     657,      57, 2,  -1.0000,  -1.0000,  -1.0000,  -1.0000,  -1.0000,  -1.0000,   0.9561,  -0.2937,  -2.7082,  -1.1471,
     658,      58, 2,  -1.0000,  -1.0000,  -1.0000,  -1.0000,  -1.0000,  -1.0000,   1.0865,  -0.4556,  -2.5887,  -1.3044,
     659,      59, 2,  -1.0000,  -1.0000,  -1.0000,  -1.0000,  -1.0000,  -1.0000,   1.1317,  -0.6516,  -2.5543,  -1.4959,
     660,      60, 2,  -1.0000,  -1.0000,  -1.0000,  -1.0000,  -1.0000,  -1.0000,   1.1044,  -0.6011,  -2.5926,  -1.4408,
     661,      61, 2,  -1.0000,  -1.0000,  -1.0000,  -1.0000,  -1.0000,  -1.0000,   1.0989,  -0.5739,  -2.6090,  -1.4090,
     662,      62, 2,  -1.0000,  -1.0000,  -1.0000,  -1.0000,  -1.0000,  -1.0000,   1.0251,  -0.5725,  -2.6937,  -1.4031,
